,ensembl_id,prioritised_sources,is_Ellen,in_validation,tractability_by_min_tractability_bucket,is_experimental_toxicity,is_adverse_effects,LoF_other
APOB,ENSG00000084674,genomics_england,True,False,draggable,False,False,False
RORA,ENSG00000069667,genomics_england,True,False,draggable,True,False,False
FGFR2,ENSG00000066468,"gene2phenotype,genomics_england",True,False,clinical,False,False,False
RNASE3,ENSG00000169397,gene2phenotype,False,False,draggable,False,False,False
SETBP1,ENSG00000152217,gene2phenotype,True,False,None,False,False,False
CXCR4,ENSG00000121966,genomics_england,True,False,clinical,False,False,False
TUBB3,ENSG00000258947,genomics_england,True,False,clinical,False,False,False
TGFBR1,ENSG00000106799,gene2phenotype,True,False,clinical,False,False,False
GUCA1A,ENSG00000048545,gene2phenotype,True,False,None,False,False,False
RUNX2,ENSG00000124813,genomics_england,True,False,None,False,False,False
ANO5,ENSG00000171714,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
PRPS1,ENSG00000147224,gene2phenotype,True,False,draggable,False,False,False
KCNJ11,ENSG00000187486,genomics_england,True,True,clinical,False,True,False
CBL,ENSG00000110395,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
VHL,ENSG00000134086,gene2phenotype,True,False,draggable,False,False,False
SCN11A,ENSG00000168356,"gene2phenotype,genomics_england",True,False,clinical,False,False,False
TUBA1A,ENSG00000167552,genomics_england,True,False,clinical,False,False,False
CHN1,ENSG00000128656,gene2phenotype,True,False,None,False,False,False
FGF12,ENSG00000114279,gene2phenotype,True,False,None,False,False,False
KCNT1,ENSG00000107147,gene2phenotype,True,False,None,False,False,False
ABL1,ENSG00000097007,"gene2phenotype,genomics_england",True,False,clinical,True,False,False
PDCD10,ENSG00000114209,genomics_england,True,False,None,False,False,False
STAT3,ENSG00000168610,genomics_england,True,False,draggable,True,False,False
CNBP,ENSG00000169714,gene2phenotype,True,False,None,False,False,False
KCNH1,ENSG00000143473,gene2phenotype,True,False,clinical,False,False,False
HDAC4,ENSG00000068024,eva,False,False,clinical,False,False,False
PDE3A,ENSG00000172572,genomics_england,True,False,clinical,False,True,False
PAK1,ENSG00000149269,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
DDR2,ENSG00000162733,eva,False,False,clinical,False,False,False
SMAD4,ENSG00000141646,gene2phenotype,True,False,draggable,False,False,False
PDE4D,ENSG00000113448,gene2phenotype,True,False,clinical,False,True,False
KCNT2,ENSG00000162687,genomics_england,True,False,draggable,False,False,False
MET,ENSG00000105976,genomics_england,True,True,clinical,True,False,False
HRAS,ENSG00000174775,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
IHH,ENSG00000163501,genomics_england,True,False,draggable,False,False,False
CDKN1C,ENSG00000129757,gene2phenotype,True,False,None,False,False,False
PIK3CA,ENSG00000121879,"eva_somatic,gene2phenotype,genomics_england",True,False,clinical,True,False,False
EDNRA,ENSG00000151617,gene2phenotype,True,False,clinical,True,True,False
RALA,ENSG00000006451,genomics_england,True,False,draggable,False,False,False
CERT1,ENSG00000113163,gene2phenotype,True,False,draggable,False,False,False
CLCN2,ENSG00000114859,eva,False,False,clinical,False,False,False
CACNA1D,ENSG00000157388,gene2phenotype,True,False,clinical,False,False,False
RET,ENSG00000165731,"gene2phenotype,genomics_england",True,True,clinical,False,False,False
PCSK9,ENSG00000169174,genomics_england,True,True,clinical,False,False,False
SYK,ENSG00000165025,eva,False,False,clinical,True,False,False
MECP2,ENSG00000169057,gene2phenotype,True,False,None,False,False,False
CASR,ENSG00000036828,"eva,genomics_england",True,False,clinical,False,False,False
ZSWIM6,ENSG00000130449,"gene2phenotype,genomics_england",True,False,None,False,False,False
DNAJB6,ENSG00000105993,eva,False,False,None,False,False,False
