,ensembl_id,gene_symbol,disease_id,disease_label,score,datasource_id,confidence,variant_so_id,is_approved,SO_label,study_id,variant_rsid,functional_consq,last_clinvar_update,panel_version,panel_version_date,clinical_significances,allelic_requirements,chembl_id,moa,tractability_type,id,is_appoved,LoF_other,is_inhibitor
0,ENSG00000114859,CLCN2,Orphanet_404,Familial hyperaldosteronism type II,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,0,rs758379595,protein gain of function,2021-05-10,None,None,None,None,None,None,,9cf79bd86a8b7f24e5bbfe78658b76169435015d,False,False,False
1,ENSG00000077782,FGFR1,Orphanet_2117,Hartsfield-Bixler-Demyer syndrome,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,1,rs780009859,protein gain of function,2020-08-20,None,None,None,None,None,None,,36bde753f0916f8bf13990c652affc1bb4793840,False,False,False
2,ENSG00000165025,SYK,Orphanet_179006,Primary immunodeficiency due to a defect in adaptive immunity,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,2,,protein gain of function,2021-02-10,None,None,None,None,None,None,,d049e2bcc1fff8e1d06cca95a39031c24dcf528f,False,False,False
3,ENSG00000105993,DNAJB6,Orphanet_263,Limb-girdle muscular dystrophy,0.72,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,3,rs869320701,protein gain of function,2021-04-12,None,None,None,None,None,None,,263a62ff2ef6300099cbf05b8427b2d7376356d1,False,False,False
4,ENSG00000108312,UBTF,EFO_0000508,genetic disorder,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,4,rs1555582065,"protein gain of function,variation affecting protein function",2021-04-21,None,None,None,None,None,None,,a8207251e6e533d72c5afe339e4167d7852ea810,False,False,False
5,ENSG00000162733,DDR2,EFO_0010166,Warburg-Cinotti syndrome,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,5,rs1558081627,protein gain of function,2021-01-16,None,None,None,None,None,None,,1acc7e7c62863d223c39b4e48ed64316357b61cb,False,False,False
6,ENSG00000152495,CAMK4,HP_0001249,Intellectual disability,0.7,eva,no assertion criteria provided,SO_0001575,,splice_donor_variant,6,rs1561515242,protein gain of function,2021-04-12,None,None,None,None,None,None,,5e3e8c7dca3b47cb0c7a7c9a9495a02097c49cbd,False,False,False
7,ENSG00000152495,CAMK4,EFO_0003847,mental retardation,0.7,eva,no assertion criteria provided,SO_0001575,,splice_donor_variant,7,rs1561515242,protein gain of function,2021-04-12,None,None,None,None,None,None,,1bf55845e3871d959f726b14ba9cf91a9d3db5f6,False,False,False
8,ENSG00000113721,PDGFRB,MONDO_0014704,skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,8,rs367543286,protein gain of function,2021-05-10,None,None,None,None,None,None,,822a717fa6d6273c43660da8a866bc71310e4eec,False,False,False
9,ENSG00000113721,PDGFRB,Orphanet_2591,Infantile myofibromatosis,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,9,rs367543286,protein gain of function,2021-05-10,None,None,None,None,None,None,,5b347fb45ea07aedc7325056c78301873f6fbfac,False,False,False
10,ENSG00000113721,PDGFRB,Orphanet_363665,Acroosteolysis-keloid-like lesions-premature aging syndrome,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,10,rs367543286,protein gain of function,2021-05-10,None,None,None,None,None,None,,87a601f36ab33492c33b58501a247b6cc134ff2f,False,False,False
11,ENSG00000113721,PDGFRB,Orphanet_1980,Bilateral striopallidodentate calcinosis,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,11,rs367543286,protein gain of function,2021-05-10,None,None,None,None,None,None,,775ff782ad6fa81f8bf47a827b2959f75d7e408e,False,True,False
12,ENSG00000077782,FGFR1,Orphanet_2117,Hartsfield-Bixler-Demyer syndrome,0.92,eva,"criteria provided, single submitter",SO_0001822,,inframe_deletion,12,rs1554551657,protein gain of function,2021-02-27,None,None,None,None,None,None,,cfcbc8d694d2dbc5e38b2227916c10de0c1194da,False,False,False
13,ENSG00000077782,FGFR1,Orphanet_2117,Hartsfield-Bixler-Demyer syndrome,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,13,rs1554551667,protein gain of function,2020-08-20,None,None,None,None,None,None,,dc3290b1ba8b15be59d12067407b44392bb0c442,False,False,False
14,ENSG00000036828,CASR,Orphanet_428,Autosomal dominant hypocalcemia,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,14,,Increased function,2020-09-19,None,None,None,None,None,None,,97b00537f221ad408a46cbaf4a7cfc8faff04f89,False,False,False
15,ENSG00000165025,SYK,Orphanet_179006,Primary immunodeficiency due to a defect in adaptive immunity,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,15,,protein gain of function,2021-04-12,None,None,None,None,None,None,,54c3fd1d62e7e1b1e45af7afdac899618855dd21,False,False,False
16,ENSG00000149260,CAPN5,EFO_0000508,genetic disorder,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,16,rs886041303,protein gain of function,2021-05-10,None,None,None,None,None,None,,0d2f382802db116634807958c4d1148ff77f9ab6,False,False,False
17,ENSG00000114859,CLCN2,Orphanet_404,Familial hyperaldosteronism type II,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,17,rs1553853557,protein gain of function,2021-05-10,None,None,None,None,None,None,,8a54a7254842b6f8904e9a0cb0ee4181c25589ef,False,False,False
18,ENSG00000113721,PDGFRB,EFO_1000890,Dandy-Walker syndrome,0.7,eva,no assertion criteria provided,SO_0001583,,missense_variant,18,rs1060499542,protein gain of function,2021-04-12,None,None,None,None,None,None,,1cc42ff23b6ccdd2fa5d260c30cb441025496edf,False,False,False
19,ENSG00000244734,HBB,MONDO_0054801,"erythrocytosis, familial, 6",0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,19,rs33993004,Increased function,2021-03-07,None,None,None,None,None,None,,1fc2a609bc40d2f5aba2690db2792a483e6a2c13,False,False,False
20,ENSG00000068024,HDAC4,EFO_0003847,mental retardation,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,20,rs1064797002,gain_of_function_variant,2021-02-27,None,None,None,None,None,None,,5c97a9e8f5545844787391b9d6da68c8cab6a26b,False,False,False
21,ENSG00000036828,CASR,Orphanet_428,Autosomal dominant hypocalcemia,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,21,rs1553769120,Increased function,2021-02-27,None,None,None,None,None,None,,65be285bb42b95dadbca147881a0cb8f8ba225e8,False,False,False
22,ENSG00000113721,PDGFRB,Orphanet_1980,Bilateral striopallidodentate calcinosis,0.92,eva,"criteria provided, single submitter",SO_0001583,,missense_variant,22,rs367543286,protein gain of function,2021-05-10,None,None,None,None,None,None,,6594771ec0b1e91d13071e3c05891ef4812d3a54,False,True,False
23,ENSG00000146648,EGFR,Orphanet_201,Cowden syndrome,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,23,rs886037891,protein gain of function,2021-04-12,None,None,None,None,None,None,,c6e0630766414d61ff705ed75c6a34c1234fc942,False,False,False
24,ENSG00000113721,PDGFRB,Orphanet_2591,Infantile myofibromatosis,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,24,rs1060499542,protein gain of function,2021-04-12,None,None,None,None,None,None,,2e52b67921660d5abea517f6f07e12f4a284923d,False,False,False
25,ENSG00000113721,PDGFRB,HP_0000238,Hydrocephalus,0.9,eva,no assertion criteria provided,SO_0001583,,missense_variant,25,rs1060499542,protein gain of function,2021-04-12,None,None,None,None,None,None,,a897a1269e55ffc5880228d65b328939d5e7dbd2,False,False,False
